,similarity,note
My Burberry - Eau de Parfum,0.8187383433205652,4.52542372881356
Burberry Her - Coffret Noël Eau de Parfum,,
The Beat pour Femme - Eau de Parfum,0.8356731326319979,4.584615384615384
Mr. Burberry Indigo - Eau de Toilette,0.8405422230828339,4.666666666666667
London pour Femme - Eau de Parfum,0.8593417433195185,4.661290322580645
My Burberry Blush - Coffret Eau de Parfum,,
My Burberry Blush - Eau de Parfum,0.8573133981178551,4.444444444444445
HER LONDON DREAM - Eau de Parfum,0.8969035886307815,5.0
Mr. Burberry - Eau de Parfum,0.8769940622418524,3.875
Burberry Body - Eau de Parfum,0.8360034056904533,4.537313432835821
Her - Eau de Parfum,0.8250423553677374,4.467811158798283
My Burberry Black - Parfum,0.8364967967046125,4.846153846153846
Mr. Burberry - Eau de Toilette,0.875438657183828,4.0
Her Intense - Eau de Parfum,0.8878630596910528,4.608433734939759
Brit pour Homme - Eau de Toilette,0.9008571971665,4.333333333333333
Brit Rhythm - Eau de Toilette,0.8496985076702922,4.333333333333333
Burberry Full Kisses - Rouge à lèvres,0.8539540292281027,4.4
London pour Homme - Eau de Toilette,0.8488513858983747,4.714285714285714
Her Blossom - Eau de Toilette,0.9021018588189152,4.5120481927710845
Brit pour Femme - Eau de Parfum,0.8433983576865636,4.7592592592592595
The Beat pour Femme - Eau de Toilette,0.8684380588264137,4.214285714285714
